2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product TB400: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.498 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CPCB: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CCHAMPR: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CCC9: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CIVCDRUM: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.499 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product RUWAG6/7PC: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.500 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.500 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.500 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product PDI: appliedRule string = 'System Default - Maintain GP%'
